source,target,value
Brazil,China,20
Austria,Germany,17
China,Japan,13
Afghanistan,Iran,13
Germany,Japan,12
Iran,Poland,12
Italy,Northern Ireland,12
Austria,Hungary,10
France,Germany,10
Nicaragua,United States,10
China,Hong Kong,10
France,Morocco,10
Indonesia,Malaysia,10
Israel,Palestine,10
France,Tunisia,10
Denmark,Norway,10
Bangladesh,Pakistan,10
Israel,Lebanon,9
Germany,Italy,9
Portugal,Spain,9
Kenya,Malaysia,9
Japan,Uganda,8
France,Japan,8
China,Greece,8
Japan,South Africa,8
China,Portugal,8
China,Indonesia,8
China,Russia,8
Afghanistan,Israel,8
Lithuania,Russia,8
Iran,South Korea,8
Germany,Haiti,8
Brunei,Lebanon,8
China,India,8
India,Lebanon,8
China,Israel,8
Egypt,Uganda,8
Germany,Spain,8
India,Philippines,8
France,United States,8
Chile,Cuba,8
Argentina,Lebanon,8
China,France,8
China,Malta,8
Afghanistan,Japan,8
China,United States,8
France,Lebanon,8
China,Italy,8
Chile,South Africa,8
Colombia,Mexico,5
Armenia,Azerbaijan,5
Belgium,Netherlands,5
Belgium,Norway,5
Georgia,Russia,5
Ethiopia,Italy,5
Ireland,Northern Ireland,5
India,Pakistan,5
Costa Rica,Guatemala,5
Bahamas,Norway,5
El Salvador,Honduras,5
Guatemala,Honduras,5
France,Netherlands,5
Denmark,France,5
Germany,Namibia,5
Italy,Libya,5
Norway,Sweden,5
Israel,Jordan,5
Denmark,Sweden,5
Egypt,United Kingdom,5
Djibouti,France,5
Ethiopia,Somalia,5
Italy,United States,5
Denmark,Ireland,5
Russia,Ukraine,5
Egypt,Israel,5
Kenya,Tanzania,5
Germany,Switzerland,5
Finland,Sweden,5
Austria,Finland,5
Cuba,United States,5
Italy,Venezuela,5
Iran,Russia,5
Finland,India,4
Argentina,Ethiopia,4
Brazil,Ethiopia,4
Ethiopia,Portugal,4
Philippines,Sweden,4
Brazil,Iran,4
Colombia,Iran,4
Colombia,Portugal,4
Philippines,Spain,4
Argentina,Spain,4
Libya,Sweden,4
China,Ireland,4
Libya,Ukraine,4
Iran,Ukraine,4
Denmark,Philippines,4
Finland,Portugal,4
Argentina,India,4
Ethiopia,Sudan,4
Iran,Peru,4
South Korea,Uganda,4
Cambodia,Spain,4
Spain,Uganda,4
Afghanistan,China,4
China,Zimbabwe,4
Canada,Zimbabwe,4
Canada,Poland,4
Ethiopia,Israel,4
France,Somalia,4
Greece,Peru,4
China,Sudan,4
Greece,Iran,4
Djibouti,Jordan,4
Japan,Jordan,4
Poland,Syria,4
Israel,Syria,4
South Africa,Uganda,4
Argentina,South Africa,4
Cambodia,Poland,4
Hong Kong,India,4
Poland,Uganda,4
Malaysia,Tanzania,4
Angola,South Korea,4
Philippines,Russia,4
Austria,Israel,4
Japan,Sweden,4
Japan,Kazakhstan,4
Kazakhstan,South Korea,4
Australia,South Korea,4
Afghanistan,Australia,4
Japan,Taiwan,4
Israel,Taiwan,4
Lebanon,Peru,4
Hong Kong,Peru,4
